    return func(self, *args, **kwargs)
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\wandb_run.py", line 2038, in log
    self._log(data=data, step=step, commit=commit)
    ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\wandb_run.py", line 1749, in _log
    self._partial_history_callback(data, step, commit)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\wandb_run.py", line 399, in wrapper
    return func(self, *args, **kwargs)
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\wandb_run.py", line 1580, in _partial_history_callback
    self._backend.interface.publish_partial_history(
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        self,
        ^^^^^
    ...<4 lines>...
        publish_step=not_using_tensorboard,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\interface\interface.py", line 690, in publish_partial_history
    data = history_dict_to_json(run, data, step=user_step, ignore_copy_err=True)
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\data_types\utils.py", line 57, in history_dict_to_json
    payload[key] = val_to_json(
                   ~~~~~~~~~~~^
        run, key, val, namespace=step, ignore_copy_err=ignore_copy_err
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\data_types\utils.py", line 154, in val_to_json
    _log_table_artifact(val, key, run)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\data_types\utils.py", line 204, in _log_table_artifact
    art.add(val, entry_name)
    ~~~~~~~^^^^^^^^^^^^^^^^^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\artifacts\_validators.py", line 272, in wrapper
    return method(self, *args, **kwargs)
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\artifacts\artifact.py", line 1733, in add
    json.dump(val, f, sort_keys=True)
    ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\json\__init__.py", line 181, in dump
    for chunk in iterable:
                 ^^^^^^^^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\json\encoder.py", line 444, in _iterencode
    yield from _iterencode_dict(o, _current_indent_level)
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\json\encoder.py", line 413, in _iterencode_dict
    yield from chunks
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\json\encoder.py", line 413, in _iterencode_dict
    yield from chunks
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\json\encoder.py", line 413, in _iterencode_dict
    yield from chunks
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\json\encoder.py", line 358, in _iterencode_dict
    items = sorted(dct.items())
TypeError: '<' not supported between instances of 'int' and 'str'
when serializing dict item 'type_map'
when serializing dict item 'params'
when serializing dict item 'column_types'
2026-03-26 12:35:25 | INFO | __main__ | Initialized W&B run | name=00.linear_regression | project=madrid-rentals-prediction | job_type=baseline
2026-03-26 12:35:25 | INFO | __main__ | Stating pipeline
2026-03-26 12:35:25 | INFO | __main__ | 1) LOAD raw data
